Abelsonite,Ni++C31H32N4
Abenakiite-(Ce),Na26REE6(SiO3)6(PO4)6(CO3)6(S++++O2)O
Abernathyite,K(UO2)(AsO4)*4(H2O)
Abernathyite,K(UO2)(AsO4)*4(H2O)
Abhurite,Sn3O(OH)2Cl2
Abswurmbachite,Cu++Mn+++6SiO12
Acanthite,Ag2S
Acetamide,CO(CH3)(NH2)
Achavalite,FeSe
Actinolite,"Ca2(Mg,Fe++)5Si8O22(OH)2"
Actinolite,"Ca2(Mg,Fe++)5Si8O22(OH)2"
Acuminite,SrAlF4(OH)*(H2O)
Acuminite,SrAlF4(OH)*(H2O)
Acuminite,SrAlF4(OH)*(H2O)
Acuminite,SrAlF4(OH)*(H2O)
Adamite,Zn2(AsO4)(OH)
Adamite,Zn2(AsO4)(OH)
Adamsite-(Y),NaY(CO3)2*6(H2O)
Adelite,CaMg(AsO4)(OH)
Adelite,CaMg(AsO4)(OH)
Admontite,MgB6O10*7(H2O)
Admontite,MgB6O10*7(H2O)
Aegirine,NaFe+++Si2O6
Aenigmatite,Na2Fe++5TiSi6O20
Aenigmatite,Na2Fe++5TiSi6O20
Aerinite,"(Ca,Na)6FeAl(Fe++,Mg)2(Al,Mg)6[Si12O36(OH)12H][(H2O)12(CO3)]"
Aerugite,Ni9(AsO4)2(AsO6)
Aeschynite-(Ce),"(Ce,Ca,Fe)(Ti,Nb)2(O,OH)6"
Aeschynite-(Nd),"(Nd,Ce)(Ti,Nb)2(O,OH)6"
Aeschynite-(Y),"(Y,Ca,Fe)(Ti,Nb)2(O,OH)6"
Afghanite,"(Na,Ca,K)8(Si,Al)12O24(SO4,Cl,CO3)3*(H2O)"
Afghanite,"(Na,Ca,K)8(Si,Al)12O24(SO4,Cl,CO3)3*(H2O)"
Afwillite,Ca3Si2O4(OH)6
Afwillite,Ca3Si2O4(OH)6
Agardite-(Ce),"(Ce,Ca)Cu6(AsO4)3(OH)6*3(H2O)"
Agardite-(La),"(La,Ca)Cu6(AsO4)3(OH)6*3(H2O)"
Agardite-(Y),"(Y,Ca)Cu6(AsO4)3(OH)6*3(H2O)"
Agardite-(Y),"(Y,Ca)Cu6(AsO4)3(OH)6*3(H2O)"
Agrellite,NaCa2Si4O10F
Agrinierite,"(K2,Ca,Sr)U3O10*4(H2O)"
Agrinierite,"(K2,Ca,Sr)U3O10*4(H2O)"
Aguilarite,Ag4SeS
Aheylite,"(Fe++,Zn)Al6(PO4)4(OH)8*4(H2O)"
Ahlfeldite,"(Ni,Co)SeO3*2(H2O)"
Aikinite,PbCuBiS3
Ajoite,"(K,Na)3Cu20Al3Si29O76(OH)16*~8(H2O)"
Akaganeite,"Fe+++(O,OH,Cl)"
Akaganeite,"Fe+++(O,OH,Cl)"
Akaganeite,"Fe+++(O,OH,Cl)"
Akaganeite,"Fe+++(O,OH,Cl)"
Akatoreite,"(Mn++,Fe++)9Al2Si8O24(OH)8"
Akdalaite,(Al2O3)4*(H2O)
Akdalaite,(Al2O3)4*(H2O)
Akdalaite,(Al2O3)4*(H2O)
Akdalaite,(Al2O3)4*(H2O)
Akermanite,Ca2MgSi2O7
Akermanite,Ca2MgSi2O7
Akhtenskite,Mn++++O2
Akimotoite,"(Mg,Fe)SiO3"
Akrochordite,Mn4Mg(AsO4)2(OH)4*4(H2O)
Aksaite,MgB6O7(OH)6*2(H2O)
Aksaite,MgB6O7(OH)6*2(H2O)
Aktashite,Cu6Hg3As4S12
Alabandite,MnS
Alacranite,As8S9
Alamosite,PbSiO3
Alamosite,PbSiO3
Alarsite,AlAsO4
Albite,NaAlSi3O8
Albite,NaAlSi3O8
Aldermanite,Mg5Al12(PO4)8(OH)22*32(H2O)
Aldzhanite,CaMgB2O4Cl*7(H2O) (?)
Aleksite,PbBi2Te2S2 (?)
Alforsite,Ba5(PO4)3Cl
Alforsite,Ba5(PO4)3Cl
Algodonite,Cu6As
Aliettite,"[Mg3Si4O10(OH)2](Ca0.5,Na)0.33(Al,Mg,Fe++)2-3(Si,Al)4O10(OH)2*n(H2O)"
Aliettite,"[Mg3Si4O10(OH)2](Ca0.5,Na)0.33(Al,Mg,Fe++)2-3(Si,Al)4O10(OH)2*n(H2O)"
Allabogdanite,"(Fe,Ni)2P"
Allactite,Mn7(AsO4)2(OH)8
Allanite-(Ce),"(Ce,Ca,Y)2(Al,Fe+++)3(SiO4)3(OH)"
Allargentum,Ag1-xSbx(x=0.009-0.16)
Alleghanyite,Mn5(SiO4)2(OH)2
Alloclasite,"(Co,Fe)AsS"
Allophane,Al2O3*(SiO2)1.3-2*((H2O))2.5-3
Alluaivite,"Na19(Ca,Mn++)6(Ti,Nb)3(Si3O9)2(Si10O28)2Cl*2(H2O)"
Alluaivite,"Na19(Ca,Mn++)6(Ti,Nb)3(Si3O9)2(Si10O28)2Cl*2(H2O)"
Alluaudite,"NaCaFe++(Mn,Fe++,Fe+++,Mg)2(PO4)3"
Almandine,Fe++3Al2(SiO4)3
Almarudite,"K([ ],Na)2(Mn,Fe,Mg)2(Be,Al)3[Si12O30]"
Alsakharovite-Zn,"NaSrKZn(Ti,Nb)4(Si4O12)2(O,OH)4*7(H2O)"
Alstonite,BaCa(CO3)2
Altaite,PbTe
Althausite,"Mg2(PO4)(OH,F,O)"
Althupite,ThAl(UO2)7(PO4)4(OH)5*15(H2O)
Altisite,Na3K6Ti2Al2Si8O26Cl3
Aluminite,Al2(SO4)(OH)4*7(H2O)
Aluminocopiapite,Al2/3Fe+++4(SO4)6O(OH)2*20(H2O)
Aluminocopiapite,Al2/3Fe+++4(SO4)6O(OH)2*20(H2O)
Alumino-magnesiohulsite,"Mg2(Al,Mg,Sn)(BO3)O2"
Aluminum,Al
Alumohydrocalcite,CaAl2(CO3)2(OH)4*3(H2O)
Alumoklyuchevskite,K3Cu3AlO2(SO4)4
Alumopharmacosiderite,KAl4(AsO4)3(OH)4*6*5(H2O)
Alumotantite,AlTaO4
Alunite,KAl3(SO4)2(OH)6
Alunite,KAl3(SO4)2(OH)6
Alunogen,Al2(SO4)3*17(H2O)
Alunogen,Al2(SO4)3*17(H2O)
Alvanite,"(Zn,Ni)Al4(VO3)2(OH)12*2(H2O)"
Amakinite,"(Fe++,Mg)(OH)2"
Amarantite,Fe+++(SO4)(OH)*3(H2O)
Amarantite,Fe+++(SO4)(OH)*3(H2O)
Amblygonite,"(Li,Na)Al(PO4)(F,OH)"
Amblygonite,"(Li,Na)Al(PO4)(F,OH)"
Amblygonite,"(Li,Na)Al(PO4)(F,OH)"
Amblygonite,"(Li,Na)Al(PO4)(F,OH)"
Ameghinite,NaB3O3(OH)4
Amesite,Mg2Al(SiAl)O5(OH)4
Amesite,Mg2Al(SiAl)O5(OH)4
Amicite,K2Na2Al4Si4O16*5(H2O)
Aminoffite,Ca3Be2Si3O10(OH)2
Ammonioalunite,(NH4)Al3(SO4)2(OH)6
Ammonioborite,(NH4)2B10O16*5(H2O)
Ammonioborite,(NH4)2B10O16*5(H2O)
Ammoniojarosite,(NH4)Fe+++3(SO4)2(OH)6
Ammonioleucite,"(NH4,K)AlSi2O6"
Amstallite,"CaAl(Si,Al)4O8(OH)4*((H2O),Cl)"
Amstallite,"CaAl(Si,Al)4O8(OH)4*((H2O),Cl)"
Analcime,NaAlSi2O6*(H2O)
Analcime,NaAlSi2O6*(H2O)
Anandite,"(Ba,K)(Fe++,Mg)3(Si,Al,Fe)4O10(S,OH)2"
Anapaite,Ca2Fe++(PO4)2*4(H2O)
Anatase,TiO2
Ancylite-(Ce),SrCe(CO3)2(OH)*(H2O)
Ancylite-(Ce),SrCe(CO3)2(OH)*(H2O)
Ancylite-(Ce),SrCe(CO3)2(OH)*(H2O)
Ancylite-(Ce),SrCe(CO3)2(OH)*(H2O)
Ancylite-(La),"Sr(La,Ce)(CO3)2(OH)*(H2O)"
Andalusite,Al2SiO5 = Al[6]Al[5]OSiO4
Andalusite,Al2SiO5 = Al[6]Al[5]OSiO4
Andersonite,Na2Ca(UO2)(CO3)3*6(H2O)
Andersonite,Na2Ca(UO2)(CO3)3*6(H2O)
Andersonite,Na2Ca(UO2)(CO3)3*6(H2O)
Andersonite,Na2Ca(UO2)(CO3)3*6(H2O)
Andesine,"(Na,Ca)(Si,Al)4O8"
Andorite,PbAgSb3S6
Andradite,Ca3Fe+++2(SiO4)3
Andradite,Ca3Fe+++2(SiO4)3
Andremeyerite,"BaFe(Fe++,Mn,Mg)Si2O7"
Androsite-(La),"(Mn,Ca)(La,Ce,Ca,Nd)AlMn+++Mn++(SiO4)(Si2O7)O(OH)"
Anduoite,"(Ru,Os)As2"
Anduoite,"(Ru,Os)As2"
Andyrobertsite,KCdCu5(AsO4)4[As(OH)2O2]*2(H2O)
Angelaite,Cu2AgPbBiS4
Angelaite,Cu2AgPbBiS4
Angelellite,Fe+++4(AsO4)2O3
Anglesite,PbSO4
Anhydrite,CaSO4
Anilite,Cu7S4
Ankangite,"Ba(Ti,V+++,Cr+++)8O16"
Ankangite,"Ba(Ti,V+++,Cr+++)8O16"
Ankerite,"Ca(Fe++,Mg,Mn)(CO3)2"
Ankerite,"Ca(Fe++,Mg,Mn)(CO3)2"
Ankinovichite,"(Ni,Zn)Al4(VO3)2(OH)12(H2O)2.5"
Ankinovichite,"(Ni,Zn)Al4(VO3)2(OH)12(H2O)2.5"
Annabergite,Ni3(AsO4)2*8(H2O)
Annite,"KFe++3AlSi3O10(OH,F)2"
Anorthite,CaAl2Si2O8
Anorthoclase,"(Na,K)AlSi3O8"
Anorthominasragrite,V++++O(SO4)(H2O)5
Anorthominasragrite,V++++O(SO4)(H2O)5
Ansermetite,MnV2O6*4(H2O)
Antarcticite,CaCl2*6(H2O)
Anthoinite,AlWO3(OH)3
Anthoinite,AlWO3(OH)3
Anthoinite,AlWO3(OH)3
Anthoinite,AlWO3(OH)3
Anthonyite,"Cu(OH,Cl)2*3(H2O)"
Anthophyllite,[ ]Mg7Si8O22(OH)2
Antigorite,"(Mg,Fe++)3Si2O5(OH)4"
Antigorite,"(Mg,Fe++)3Si2O5(OH)4"
Antimonpearceite,"(Ag,Cu)16(Sb,As)2S11"
Antimonselite,Sb2Se3
Antimony,Sb
Antlerite,Cu3(SO4)(OH)4
Anyuiite,"Au(Pb,Sb)2"
Apachite,Cu9Si10O29*11(H2O)
Aphthitalite,"(K,Na)3Na(SO4)2"
Aphthitalite,"(K,Na)3Na(SO4)2"
Apjohnite,MnAl2(SO4)4*22(H2O)
Aplowite,"(Co,Mn,Ni)SO4*4(H2O)"
Apuanite,Fe++Fe+++4Sb+++4O12S
Aqualite,"(H3O)8(Na,K,Sr)5Ca6Zr3Si26O66(OH)9Cl"
Aqualite,"(H3O)8(Na,K,Sr)5Ca6Zr3Si26O66(OH)9Cl"
Aragonite,CaCO3
Arakiite,"(Zn,Mn++)(Mn++,Mg)12(Fe+++,Al)2(AsO3)(AsO4)2(OH)23"
Arakiite,"(Zn,Mn++)(Mn++,Mg)12(Fe+++,Al)2(AsO3)(AsO4)2(OH)23"
Aramayoite,"Ag3Sb2(Sb,Bi)S6"
Arapovite,"(U,Th)(Ca,Na)2(K1-x[ ]x)Si8O20, x~0.5"
Aravaipaite,Pb3AlF9*(H2O)
Arcanite,K2SO4
Archerite,"(K,NH4)H2PO4"
Arctite,Na2Ca4(PO4)3F
Ardaite,Pb19Sb13S35Cl7
Ardaite,Pb19Sb13S35Cl7
Ardaite,Pb19Sb13S35Cl7
Ardaite,Pb19Sb13S35Cl7
Ardealite,Ca2(SO4)(HPO4)*4(H2O)
Ardennite,"(Mn++,Ca,Mg)4(Al,Mg,Fe)6(SiO4)2(Si3O10)(AsO4,VO4)(OH)6"
Arfvedsonite,NaNa2(Fe++4Fe+++)Si8O22(OH)2
Argentite,Ag2S
Argentite,Ag2S
Argentite,Ag2S
Argentite,Ag2S
Argentojarosite,AgFe+++3(SO4)2(OH)6
Argentopentlandite,"Ag(Fe,Ni)8S8"
Argentopentlandite,"Ag(Fe,Ni)8S8"
Argentopyrite,AgFe2S3
Argentopyrite,AgFe2S3
Argentotennantite,"(Ag,Cu)10(Zn,Fe)2(As,Sb)4S13"
Argutite,GeO2
Argyrodite,Ag8GeS6
Arhbarite,Cu2Mg(AsO4)(OH)3
Aristarainite,Na2MgB12O20*8(H2O)
Armalcolite,"(Mg,Fe++)Ti2O5"
Armangite,Mn26As+++18O50(OH)4(CO3)
Armenite,BaCa2Al6Si9O30*2(H2O)
Armstrongite,CaZrSi6O15*3(H2O)
Armstrongite,CaZrSi6O15*3(H2O)
Arnhemite,"(K,Na)2Mg2(P2O7)*5(H2O)"
Arrojadite,"KNa4CaMn++4Fe++10Al(PO4)12(OH,F)2"
Arsenbrackebuschite,"Pb2(Fe++,Zn)(AsO4)2*(H2O)"
Arsenbrackebuschite,"Pb2(Fe++,Zn)(AsO4)2*(H2O)"
Arsendescloizite,PbZn(AsO4)(OH)
Arsendescloizite,PbZn(AsO4)(OH)
Arsenic,As
Arsenic,As
Arseniopleite,"(Ca,Na)(Na,Pb)Mn++(Mn++,Mg,Fe++)2(AsO4)3"
Arseniosiderite,Ca2Fe+++3(AsO4)3O2*3(H2O)
Arsenobismite,Bi2(AsO4)(OH)3
Arsenoclasite,Mn5(AsO4)2(OH)4
Arsenocrandallite,"(Ca,Sr)Al3[(As,P)O4]2(OH)5*(H2O)"
Arsenoflorencite-(Ce),"(Ce,La)Al3(AsO4)2(OH)6"
Arsenoflorencite-(La),"(La,Sr)Al3(AsO4,SO4,PO4)2(OH)6"
Arsenoflorencite-(Nd),"(Nd,La,Ce,Ba)(Al,Fe+++)3(AsO4,PO4)2(OH)6"
Arsenogorceixite,"BaAl3AsO3(OH)(AsO4,PO4)(OH,F)6"
Arsenogorceixite,"BaAl3AsO3(OH)(AsO4,PO4)(OH,F)6"
Arsenogoyazite,"(Sr,Ca,Ba)Al3(AsO4,PO4)2(OH,F)5*(H2O)"
Arsenohauchecornite,Ni18Bi3AsS16
Arsenolamprite,As
Arsenolamprite,As
Arsenolamprite,As
Arsenolamprite,As
Arsenolite,As2O3
Arsenopalladinite,"Pd8(As,Sb)3"
Arsenopyrite,FeAsS
Arsenopyrite,FeAsS
Arsenosulvanite,"Cu3(As,V)S4"
Arsenosulvanite,"Cu3(As,V)S4"
Arsenpolybasite,"(Ag,Cu)16(As,Sb)2S11"
Arsentsumebite,Pb2Cu(AsO4)(SO4)(OH)
Arsenuranospathite,HAl(UO2)4(AsO4)4*40(H2O)
Arsenuranospathite,HAl(UO2)4(AsO4)4*40(H2O)
Arsenuranylite,Ca(UO2)4(AsO4)2(OH)4*6(H2O)
Arsenuranylite,Ca(UO2)4(AsO4)2(OH)4*6(H2O)
Arthurite,"CuFe+++2(AsO4,PO4,SO4)2(O,OH)2*4(H2O)"
Arthurite,"CuFe+++2(AsO4,PO4,SO4)2(O,OH)2*4(H2O)"
Arthurite,"CuFe+++2(AsO4,PO4,SO4)2(O,OH)2*4(H2O)"
Arthurite,"CuFe+++2(AsO4,PO4,SO4)2(O,OH)2*4(H2O)"
Artinite,Mg2(CO3)(OH)2*3(H2O)
Artroeite,PbAlF3(OH)2
Artsmithite,Hg+4Al(PO4)1.74(OH)1.78
Artsmithite,Hg+4Al(PO4)1.74(OH)1.78
Arupite,"(Ni,Fe++)3(PO4)2*8(H2O)"
Arzakite,"Hg3S2(Br,Cl)2"
Arzakite,"Hg3S2(Br,Cl)2"
Asbecasite,"Ca3(Ti,Sn)As+++6Si2Be2O20"
Asbecasite,"Ca3(Ti,Sn)As+++6Si2Be2O20"
Asbolane,"(Co,Ni)1-y(Mn++++O2)2-x(OH)2-2y+2x*n(H2O)"
Asbolane,"(Co,Ni)1-y(Mn++++O2)2-x(OH)2-2y+2x*n(H2O)"
Asbolane,"(Co,Ni)1-y(Mn++++O2)2-x(OH)2-2y+2x*n(H2O)"
Asbolane,"(Co,Ni)1-y(Mn++++O2)2-x(OH)2-2y+2x*n(H2O)"
Aschamalmite,Pb6Bi2S9
Ashanite,"(Nb,Ta,U,Fe,Mn)4O8"
Ashburtonite,HPb4Cu++4Si4O12(HCO3)4(OH)4Cl
Ashburtonite,HPb4Cu++4Si4O12(HCO3)4(OH)4Cl
Ashburtonite,HPb4Cu++4Si4O12(HCO3)4(OH)4Cl
Ashburtonite,HPb4Cu++4Si4O12(HCO3)4(OH)4Cl
Ashcroftine-(Ce),"K5Na5(Ce,Ca)12Si28O70(OH)2(CO3)8*8(H2O)"
Ashcroftine-(Y),"K5Na5(Y,Ca)12Si28O70(OH)2(CO3)8*8(H2O)"
Ashoverite,Zn(OH)2
Asisite,Pb12(SiO4)O8Cl4
Asisite,Pb12(SiO4)O8Cl4
Asselbornite,"(Pb,Ba)(UO2)6(BiO)4(AsO4)2(OH)12*3(H2O)"
Astrocyanite-(Ce),"Cu2(Ce,Nd,La)2(UO2)(CO3)5(OH)2*1.5(H2O)"
Astrophyllite,"K2Na(Fe++,Mn)7Ti2Si8O26(OH)4"
Atacamite,Cu2Cl(OH)3
Atacamite,Cu2Cl(OH)3
Atacamite,Cu2Cl(OH)3
Atacamite,Cu2Cl(OH)3
Atelestite,Bi8(AsO4)3(OH)5O5
Athabascaite,Cu5Se4
Atheneite,"(Pd,Hg)3As"
Atlasovite,Cu6Fe+++Bi+++O4(SO4)5*KCl
Atokite,"(Pd,Pt)3Sn"
Atokite,"(Pd,Pt)3Sn"
Attakolite,"(Ca,Sr)Mn++(Al,Fe+++)4[(Si,P)O4]H(PO4)3(OH)4"
Aubertite,CuAl(SO4)2Cl*14(H2O)
Augelite,Al2(PO4)(OH)3
Augite,"(Ca,Na)(Mg,Fe,Al,Ti)(Si,Al)2O6"
Augite,"(Ca,Na)(Mg,Fe,Al,Ti)(Si,Al)2O6"
Augite,"(Ca,Na)(Mg,Fe,Al,Ti)(Si,Al)2O6"
Augite,"(Ca,Na)(Mg,Fe,Al,Ti)(Si,Al)2O6"
Aurichalcite,"(Zn,Cu)5(CO3)2(OH)6"
Auricupride,Cu3Au
Auricupride,Cu3Au
Aurivilliusite,Hg+Hg++OI
Aurivilliusite,Hg+Hg++OI
Auroantimonate,AuSbO3
Aurorite,"(Mn,Ag,Ca)Mn++++3O7*3(H2O)"
Aurostibite,AuSb2
Austinite,CaZn(AsO4)(OH)
Austinite,CaZn(AsO4)(OH)
Austinite,CaZn(AsO4)(OH)
Austinite,CaZn(AsO4)(OH)
Autunite,Ca(UO2)2(PO4)2*10-12(H2O)
Averievite,Cu5(VO4)2O2*CuCl2
Avicennite,Tl2O3
Avogadrite,"(K,Cs)BF4"
Awaruite,Ni2Fe to Ni3Fe
Azoproite,"(Mg,Fe++)2(Fe+++,Ti,Mg)BO5"
Azurite,Cu3(CO3)2(OH)2
Babefphite,"BaBe(PO4)(F,O)"
Babefphite,"BaBe(PO4)(F,O)"
Babefphite,"BaBe(PO4)(F,O)"
Babefphite,"BaBe(PO4)(F,O)"
Babingtonite,"Ca2(Fe++,Mn)Fe+++Si5O14(OH)"
Babkinite,"Pb2Bi2(S,Se)3"
Baddeleyite,ZrO2
Bafertisite,"Ba(Fe++,Mn)2TiSi2O7(O,OH)2"
Bafertisite,"Ba(Fe++,Mn)2TiSi2O7(O,OH)2"
Baghdadite,"Ca3(Zr,Ti)Si2O9"
Bahianite,Al5Sb+++++3O14(OH)2
Bahianite,Al5Sb+++++3O14(OH)2
Baileychlore,"(Zn,Al,[  ])3[Fe++2Al][Si3AlO10](OH)8"
Bakerite,Ca4B4(BO4)(SiO4)3(OH)3*(H2O)
Bakerite,Ca4B4(BO4)(SiO4)3(OH)3*(H2O)
Bakhchisaraitsevite,Na2Mg5(PO4)4*7(H2O)
Bakhchisaraitsevite,Na2Mg5(PO4)4*7(H2O)
Baksanite,Bi6Te2S3
Balangeroite,"(Mg,Fe+++,Fe++,Mn++)42Si16O54(OH)40"
Balipholite,"BaMg2LiAl3Si4O12(OH,F)8"
Balkanite,Cu9Ag5HgS8
Balkanite,Cu9Ag5HgS8
Balyakinite,CuTeO3
Bambollaite,"Cu(Se,Te)2"
Bamfordite,Fe+++Mo2O6(OH)3*(H2O)
Banalsite,BaNa2Al4Si4O16
Banalsite,BaNa2Al4Si4O16
Banalsite,BaNa2Al4Si4O16
Banalsite,BaNa2Al4Si4O16
Bandylite,CuB(OH)4Cl
Bandylite,CuB(OH)4Cl
